강릉,  , 20 이상,  ,  , 25.1, 16.7, 26.1,  , 60, 북동, , 1011.5
강진군,  , 20 이상,  ,  , 23.8, 20.7, 26.5, 3.0, 83, 동, , 1007.4
강화,  , 12.0,  ,  , 26.7, 17.7, 27.5,  , 58, 동, , 1009.8
거제,  , 20 이상,  ,  , 23.8, 19.7, 26.1, 6.6, 78, 동북동, , 1008.7
거창,  , 19.3,  ,  , 20.7, 19.3, 23.9, 3.1, 92, 북, , 1009.5
경주시,  , 4.1,  ,  , 21.2, 19.4, 24.3, 6.4, 90, 북북동, , 1010.4
고산,  , 20 이상,  ,  , 26.7, 24.5, 29.8, 14.2, 88, 북, , 1006.8
고창,  , 20 이상,  ,  , 27.1, 20.9, 28.8, 6.4, 69, 동남동, , 1008.0
고창군, 구름많음, 20 이상, 7, 4, 27.0, 19.6, 28.3, 7.8, 64, 북북동, , 1007.6
고흥,  , 20 이상,  ,  , 23.9, 19.1, 26.0, 2.3, 75, 북북동, , 1008.1
광양시,  , 15.3,  ,  , 23.3, 19.4, 25.7, 0.2, 79, 북동, , 1008.6
광주, 구름많음, 20 이상, 8, 8, 25.4, 22.6, 28.2, 0.8, 85, 남남동, , 1008.1
구미,  , 20 이상,  ,  , 23.7, 18.5, 25.6, 0.3, 73, 동남동, , 1009.9
군산,  , 20 이상,  ,  , 26.9, 19.2, 28.1, 0.0, 63, 북북동, , 1008.8
금산,  , 20 이상,  ,  , 25.3, 18.2, 26.7,  , 65, 동, , 1008.9
김해시,  , 20 이상,  ,  , 23.5, 19.6, 25.9,  , 79, 북, , 1009.4
남원,  , 6.5,  ,  , 21.4, 19.5, 24.4, 0.0, 89, 동북동, , 1008.9
남해,  , 20 이상,  ,  , 22.0, 19.3, 24.7, 3.8, 85, 북, , 1008.8
대관령,  , 20 이상,  ,  , 19.3, 14.9, 21.4,  , 76, 동북동, , 1010.8
대구, 약한 비 연속적, 17.9, 10, 7, 21.3, 19.7, 24.4, 3.8, 91, 남동, , 1010.0
