입국자국가,국가코드,입국연월,입국자 수
독일,324,201501,6316
독일,324,201502,6046
독일,324,201503,10123
독일,324,201504,9371
독일,324,201505,8770
독일,324,201506,6922
독일,324,201507,7008
독일,324,201508,8787
독일,324,201509,9525
독일,324,201510,12248
독일,324,201511,8953
독일,324,201512,6113
독일,324,201601,7313
독일,324,201602,6815
독일,324,201603,11116
독일,324,201604,10292
독일,324,201605,9578
독일,324,201606,8636
독일,324,201607,9210
독일,324,201608,9951
독일,324,201609,10234
독일,324,201610,12225
독일,324,201611,8822
독일,324,201612,6110
독일,324,201701,6720
독일,324,201702,7457
독일,324,201703,10558
독일,324,201704,11712
독일,324,201705,9180
독일,324,201706,7944
독일,324,201707,9149
독일,324,201708,9661
독일,324,201709,10426
독일,324,201710,11208
독일,324,201711,9116
독일,324,201712,6729
독일,324,201801,7328
독일,324,201802,9577
독일,324,201803,11239
독일,324,201804,10924
독일,324,201805,9699
독일,324,201806,8424
독일,324,201807,9101
독일,324,201808,10010
독일,324,201809,10760
독일,324,201810,12635
독일,324,201811,9458
독일,324,201812,6634
독일,324,201901,6850
독일,324,201902,6866
독일,324,201903,11142
독일,324,201904,12873
독일,324,201905,10103
독일,324,201906,8947
독일,324,201907,9675
독일,324,201908,11159
독일,324,201909,12670
독일,324,201910,13322
독일,324,201911,9819
독일,324,201912,7304
독일,324,202001,6617
독일,324,202002,5599
독일,324,202003,1195
독일,324,202004,1033
독일,324,202005,1754
독일,324,202006,798
독일,324,202007,1082
독일,324,202008,1580
독일,324,202009,1084
독일,324,202010,1143
독일,324,202011,1132
독일,324,202012,1111
