입국자국가,국가코드,입국연월,입국자 수
중국,112,201601,521981
중국,112,201602,546408
중국,112,201603,601671
중국,112,201604,682318
중국,112,201605,705844
중국,112,201606,758534
중국,112,201607,917519
중국,112,201608,873771
중국,112,201609,726266
중국,112,201610,680918
중국,112,201611,516956
중국,112,201612,535536
중국,112,201701,565243
중국,112,201702,590790
중국,112,201703,360782
중국,112,201704,227811
중국,112,201705,253359
중국,112,201706,254930
중국,112,201707,281263
중국,112,201708,339388
중국,112,201709,318682
중국,112,201710,345384
중국,112,201711,299247
중국,112,201712,332474
